"sgRNA"	"Gene"	"exp_mock_1"	"exp_mock_2"	"exp_rcVSV_1"	"exp_rcVSV_2"	"exp_hku5_1"	"exp_hku5_2"	"exp_sars2_1"	"exp_sars2_2"	"exp_mers_1"	"exp_mers_2"	"exp_t1015n_1"	"exp_t1015n_2"	"exp_emcv_1"	"exp_emcv_2"	"exp_iav_1"
"EEF1G_3"	"EEF1G"	47	64	33	25	38	34	64	61	61	15	0	0	43	0	0
"EEF1G_5"	"EEF1G"	403	405	1576	912	828	782	1597	1883	608	926	549	266	1219	186	103
"EEF1G_7"	"EEF1G"	473	809	1643	1146	751	871	795	1083	1087	352	533	490	59	554	600
"EEF1G_8"	"EEF1G"	2104	2384	2165	1992	1166	1375	1382	1618	897	887	455	911	3000	1476	1679
"EEF2_11"	"EEF2"	510	399	620	533	188	363	274	537	983	676	340	825	2826	708	176
"EEF2_13"	"EEF2"	733	620	339	394	219	187	316	261	545	550	112	314	98	250	153
"EEF2_14"	"EEF2"	101	123	124	41	73	47	71	5	333	25	15	408	78	111	2
"EEF2_16"	"EEF2"	331	315	287	226	325	158	190	199	213	41	124	43	897	656	4
"EEF2_2"	"EEF2"	1748	1995	1197	870	605	730	666	694	3039	2565	1999	5659	2788	3136	1737
"EEF2_8"	"EEF2"	138	70	102	87	33	57	74	27	35	19	6	0	560	373	0
"EFHD2_10"	"EFHD2"	456	436	619	414	370	329	607	591	643	169	332	338	117	307	340
"EFHD2_14"	"EFHD2"	3418	3621	7634	5883	3642	4416	5212	5852	5119	4509	4340	6358	2106	2051	2887
"EFHD2_2"	"EFHD2"	584	516	302	485	222	303	460	299	623	582	286	1167	1646	1199	405
"EFHD2_4"	"EFHD2"	2018	2136	2373	1803	1255	1281	1318	1351	4496	2569	1326	3163	1023	1964	2741
"EFHD2_8"	"EFHD2"	1748	1942	2481	1646	1148	1323	1351	1454	3514	1325	1972	1393	1552	1250	856
"EFHD2_9"	"EFHD2"	4760	4625	5554	4015	2626	3190	2958	2865	10002	4183	4059	5393	3486	5817	2819
"EFTUD2_1"	"EFTUD2"	57	65	77	30	54	13	17	9	0	0	0	0	2	0	0
"EFTUD2_11"	"EFTUD2"	151	193	114	57	47	98	19	36	40	68	40	62	24	67	0
"EFTUD2_5"	"EFTUD2"	238	377	232	94	173	210	180	135	1041	237	344	761	19	337	44
"EFTUD2_7"	"EFTUD2"	12	28	0	26	3	10	0	0	0	0	0	0	0	89	0
"EFTUD2_8"	"EFTUD2"	39	51	17	53	48	13	6	9	89	54	112	12	0	23	0
"EFTUD2_9"	"EFTUD2"	283	320	154	108	45	74	69	73	408	293	50	96	274	204	106
"EIF1AX_12"	"EIF1AX"	144	198	121	248	226	262	221	170	53	78	0	55	29	69	106
"EIF1AX_2"	"EIF1AX"	82	64	96	63	16	72	75	71	13	101	0	226	1	0	0
"EIF1AX_3"	"EIF1AX"	1056	1248	2370	1478	1145	941	1370	1182	1006	459	363	563	928	794	1458
"EIF1AX_5"	"EIF1AX"	64	76	11	10	21	75	47	50	0	29	41	30	2	0	0
"EIF1AX_8"	"EIF1AX"	52	32	0	5	0	6	1	27	16	33	13	0	0	0	0
"EIF1AX_9"	"EIF1AX"	259	282	370	156	266	173	143	284	64	274	23	66	0	108	344
"EIF2A_1"	"EIF2A"	974	915	483	478	203	239	183	369	2947	1390	996	2247	912	1544	1070
"EIF2A_2"	"EIF2A"	481	395	521	413	282	224	333	300	545	546	261	447	890	423	123
"EIF2A_3"	"EIF2A"	949	927	811	644	440	449	472	387	1433	472	980	763	1710	1327	713
"EIF2A_5"	"EIF2A"	824	760	1114	1014	671	827	1190	1240	1235	1190	844	1495	38	462	285
"EIF2A_6"	"EIF2A"	265	369	201	232	191	223	240	257	411	101	666	398	305	42	27
"EIF2A_7"	"EIF2A"	389	628	317	131	218	202	284	244	824	130	169	856	1042	1350	126
"EIF2S1_1"	"EIF2S1"	132	56	49	44	85	15	46	33	41	5	127	29	0	18	0
"EIF2S1_2"	"EIF2S1"	121	99	3	25	19	37	39	32	0	11	0	0	2	0	0
"EIF2S1_3"	"EIF2S1"	1285	1286	2257	903	916	952	1439	1402	1807	944	384	1173	1696	2149	953
"EIF2S1_4"	"EIF2S1"	410	431	146	217	120	137	210	134	524	345	57	157	948	538	54
"EIF2S1_5"	"EIF2S1"	67	71	10	23	27	29	32	17	54	20	42	108	0	21	0
"EIF2S1_7"	"EIF2S1"	147	130	365	135	150	204	270	205	87	20	181	354	64	75	3
"EIF2S3_1"	"EIF2S3"	130	145	322	128	200	96	116	136	48	38	0	34	44	67	3
"EIF2S3_11"	"EIF2S3"	2	13	53	25	27	28	2	0	215	8	26	28	0	0	0
"EIF2S3_14"	"EIF2S3"	83	54	31	50	8	18	11	0	0	0	0	0	2	23	5
"EIF2S3_15"	"EIF2S3"	147	127	246	86	35	153	33	95	0	0	0	39	182	143	0
"EIF2S3_5"	"EIF2S3"	20	86	31	16	18	22	25	17	19	0	12	0	0	18	0
"EIF2S3_7"	"EIF2S3"	200	148	105	115	116	189	94	100	118	56	50	59	1	25	1
"EIF3A_1"	"EIF3A"	380	282	889	383	281	269	342	311	791	650	440	524	411	111	153
"EIF3A_2"	"EIF3A"	208	311	130	209	169	159	75	107	610	78	16	295	351	401	135
"EIF3A_3"	"EIF3A"	145	167	118	154	45	99	83	70	129	5	121	165	3	116	22
"EIF3A_4"	"EIF3A"	115	86	22	14	0	2	1	0	0	0	0	52	4	28	22
"EIF3A_8"	"EIF3A"	662	737	786	508	469	485	732	542	166	318	376	846	1271	1402	1832
"EIF3A_9"	"EIF3A"	605	557	408	291	266	281	385	417	809	151	99	292	1032	645	143
"EIF3B_11"	"EIF3B"	918	1011	1686	1683	907	1020	995	1330	1951	1200	1015	1338	203	430	40
"EIF3B_12"	"EIF3B"	76	116	54	140	34	53	38	29	72	0	34	13	71	178	5
"EIF3B_2"	"EIF3B"	138	86	71	104	44	119	61	54	130	14	0	0	0	44	4
"EIF3B_3"	"EIF3B"	24	10	0	18	0	13	12	0	0	0	0	27	490	0	0
"EIF3B_4"	"EIF3B"	378	425	534	339	187	305	335	237	1005	404	580	864	179	234	184
"EIF3B_5"	"EIF3B"	227	297	364	150	205	274	179	217	524	230	68	293	4	0	51
"EIF3C_1"	"EIF3C"	36	2	0	7	9	0	4	0	0	0	0	0	0	16	0
"EIF3C_2"	"EIF3C"	1591	1898	2616	1723	1529	1613	1757	1926	1755	854	926	1183	309	476	487
"EIF3C_3"	"EIF3C"	216	320	328	364	230	202	94	157	251	49	1	44	1430	339	118
"EIF3C_4"	"EIF3C"	1055	1156	1817	1256	937	816	1058	868	2368	1336	1069	2323	147	512	224
"EIF3C_5"	"EIF3C"	143	188	154	277	100	110	248	277	210	53	9	47	4	21	35
"EIF3C_6"	"EIF3C"	2583	2784	3786	2431	1470	1621	2794	2410	2574	1705	1246	3080	3542	2246	1638
"EIF3D_1"	"EIF3D"	851	757	884	792	715	888	973	920	1261	1020	677	1045	1633	859	1981
"EIF3D_2"	"EIF3D"	338	382	1759	901	660	629	1025	1186	90	53	150	0	1	206	229
"EIF3D_3"	"EIF3D"	786	976	1501	1017	808	756	698	668	1962	2329	2043	1211	922	408	143
"EIF3D_4"	"EIF3D"	981	902	1181	823	729	773	172	340	1559	313	487	1143	1424	824	981
"EIF3D_5"	"EIF3D"	1306	1247	3602	2409	1323	1787	1905	1797	2643	1330	1010	1419	355	347	1239
"EIF3D_9"	"EIF3D"	232	133	519	321	116	260	233	514	187	130	266	207	2	630	143
"EIF3E_1"	"EIF3E"	14	87	73	52	11	19	21	36	201	0	0	0	0	68	42
"EIF3E_2"	"EIF3E"	8	33	0	3	1	4	0	0	0	0	0	18	0	39	0
