"sgRNA"	"Gene"	"mito_mock_1"	"mito_mock_2"	"mito_rcVSV_1"	"mito_rcVSV_2"	"mito_hku5_1"	"mito_hku5_2"	"mito_sars2_1"	"mito_sars2_2"	"mito_mers_1"	"mito_mers_2"	"mito_t1015n_1"	"mito_t1015n_2"	"mito_emcv_1"	"mito_emcv_2"	"mito_iav_1"	"mito_iav_2"
"COX8C_1"	"COX8C"	2425	2935	2024	5771	3348	5190	4804	5575	6070	3039	3945	3606	5577	1594	2589	2396
"COX8C_2"	"COX8C"	2010	2681	1105	2867	2375	3157	3105	2453	6962	3848	4990	4836	5992	648	2615	5364
"COX8C_3"	"COX8C"	1810	2258	600	2037	1968	1796	1398	2389	4506	3460	4859	7432	8257	1213	2952	516
"COX8C_4"	"COX8C"	1343	1937	858	2541	1481	2311	1236	3277	1910	1186	1279	1618	2045	1705	1254	1100
"COX8C_5"	"COX8C"	2720	2998	838	2601	2423	3199	2322	2177	3918	2123	3976	3676	5438	1300	1269	4477
"COX8C_6"	"COX8C"	2225	2584	873	3087	2297	2962	3013	2773	2446	994	2077	1408	5462	933	863	959
"CPS1_1"	"CPS1"	2006	2592	1078	3895	2690	3052	2125	2401	2198	2155	3030	2686	4456	1382	2473	2449
"CPS1_10"	"CPS1"	978	833	380	1582	1042	1147	1386	1274	569	306	184	775	1408	271	528	227
"CPS1_11"	"CPS1"	1009	1496	428	849	970	856	811	1158	1223	1118	1178	416	6163	2164	554	171
"CPS1_3"	"CPS1"	1063	1342	618	2093	1585	1990	1288	1607	1169	688	597	1130	1738	1546	1271	1610
"CPS1_8"	"CPS1"	2565	2924	1298	3736	3659	4126	3358	2335	2851	2315	2461	2933	3947	992	1119	3491
"CPS1_9"	"CPS1"	446	348	183	788	285	266	358	831	250	197	102	169	65	89	240	44
"CPT1A_1"	"CPT1A"	654	1163	621	1025	640	802	923	1254	598	611	609	737	1581	1286	405	506
"CPT1A_11"	"CPT1A"	1086	1327	554	1621	1089	2072	1013	1748	709	369	844	804	1599	397	1545	4633
"CPT1A_13"	"CPT1A"	545	796	94	503	265	360	285	548	275	339	591	521	188	74	272	250
"CPT1A_3"	"CPT1A"	1843	2132	1123	3782	3326	3519	2038	2811	2909	2280	2666	2147	5138	132	1644	1001
"CPT1A_4"	"CPT1A"	656	899	97	513	528	970	618	385	757	485	395	205	853	1262	471	154
"CPT1A_8"	"CPT1A"	1435	1738	534	1493	1198	1594	1238	1477	1414	885	969	1809	4668	1377	2559	1325
"CPT1C_11"	"CPT1C"	1166	1319	549	1441	1846	1390	1086	1105	1732	1081	1572	2234	2233	1087	1389	686
"CPT1C_2"	"CPT1C"	868	1186	501	1976	1306	1576	1301	1982	2204	752	1503	809	45	464	289	574
"CPT1C_4"	"CPT1C"	734	742	236	724	583	914	460	815	443	283	360	250	38	737	110	301
"CPT1C_5"	"CPT1C"	832	1045	474	871	894	1371	925	938	622	469	297	445	692	275	422	82
"CPT1C_6"	"CPT1C"	495	516	182	286	415	452	264	291	777	176	903	996	503	675	201	124
"CPT1C_8"	"CPT1C"	1537	1500	948	2621	1429	2065	2164	2560	1164	1075	1838	1004	1572	2101	1155	463
"CRAT_1"	"CRAT"	1939	2362	925	2623	2123	2432	2038	2198	1917	1365	2849	2452	5271	2177	1960	814
"CRAT_11"	"CRAT"	1452	1646	1258	3046	2103	3209	1755	1678	1251	487	836	1660	1195	798	535	2601
"CRAT_13"	"CRAT"	1035	1098	392	959	788	1056	666	771	2083	623	1570	1857	3457	458	1974	2452
"CRAT_2"	"CRAT"	1437	1658	723	1707	1242	2034	1711	2274	1057	1252	1555	2806	1545	2113	190	606
"CRAT_3"	"CRAT"	1426	1966	832	1682	1564	1881	1427	1977	2158	1119	1373	2172	6546	1553	1324	1097
"CRAT_9"	"CRAT"	2419	2628	862	3357	2352	3290	2995	3173	2239	1659	2412	2987	2634	1020	1951	455
"CS_11"	"CS"	1669	1937	644	2331	1963	2266	1691	2245	1065	761	1522	1296	4967	536	104	41
"CS_2"	"CS"	1602	1812	1199	2814	1753	2492	2092	2650	2408	2327	2001	2144	2034	493	963	5572
"CS_4"	"CS"	1500	1825	548	2366	1810	1673	1520	737	1694	1108	1201	1099	369	665	283	1743
"CS_5"	"CS"	512	672	178	639	405	542	477	795	694	218	238	466	968	171	1449	7
"CS_6"	"CS"	1055	1309	415	1139	1078	1300	1342	1229	1450	811	722	561	568	888	481	189
"CS_8"	"CS"	2247	2575	1435	4664	2675	4391	3188	4170	3334	1885	4096	3013	1108	99	660	3322
"CSKMT_1"	"CSKMT"	1865	1470	782	2179	2153	2352	2232	2169	918	1091	936	1133	2386	330	1612	517
"CSKMT_2"	"CSKMT"	2366	3062	1058	1980	2777	4038	2781	2833	4823	2296	3468	4805	2990	1788	531	1058
"CSKMT_3"	"CSKMT"	2311	2386	1110	2742	2489	4290	2952	2589	4071	2097	3013	3045	2839	2815	1420	431
"CSKMT_4"	"CSKMT"	943	840	626	1543	950	1071	959	1798	2054	1095	1484	899	3642	483	1299	2447
"CSKMT_5"	"CSKMT"	1262	1647	1002	2632	2196	2462	2574	2106	2133	1209	2448	1825	262	1838	546	655
